Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,cinput_lignin_px,cinput_n_px,Location,POLYID,ECO_ID,SL,PROVINCE,PCPTREGION,lowest_depth,soc_tha_lowest_depth,initial_dsm,lowest_depth_difference,first_soc_treatment,soc_dsm_difference,soc_tha_30cm
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1980,1951,2004,NT,0,NA,1.16,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,109.1,-17.599999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1986,1951,2004,NT,0,NA,4.85,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,109.1,-17.599999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,1992,1951,2004,NT,0,NA,NA,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,109.1,91.5,0,109.1,-17.599999999999994,109.1
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,114W,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,1,54,2004,1951,2004,NT,0,NA,4.61,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,109.1,-17.599999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,201,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,2,54,1956,1951,2004,NT,0,NA,3.48,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,110.9,-19.400000000000006,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,201,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,2,54,1962,1951,2004,NT,0,NA,0.62,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,110.9,-19.400000000000006,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,201,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,2,54,1968,1951,2004,NT,0,NA,2.38,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,110.9,-19.400000000000006,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,201,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,2,54,1974,1951,2004,NT,0,NA,2.2,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,110.9,-19.400000000000006,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,201,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,2,54,1980,1951,2004,NT,0,NA,0.5,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,110.9,-19.400000000000006,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,201,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,2,54,1986,1951,2004,NT,0,NA,3.3,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,110.9,-19.400000000000006,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,201,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,2,54,1992,1951,2004,NT,0,NA,NA,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,110.9,91.5,0,110.9,-19.400000000000006,110.9
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,201E,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,2,54,2004,1951,2004,NT,0,NA,4.37,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,110.9,-19.400000000000006,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,324,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,3,54,1956,1951,2004,NT,0,NA,4.08,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,108.2,-16.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,324,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,3,54,1962,1951,2004,NT,0,NA,0.78,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,108.2,-16.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,324,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,3,54,1968,1951,2004,NT,0,NA,2.34,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,108.2,-16.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,324,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,3,54,1974,1951,2004,NT,0,NA,2.4,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,108.2,-16.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,324,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,3,54,1980,1951,2004,NT,0,NA,3,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,108.2,-16.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,324,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,3,54,1986,1951,2004,NT,0,NA,2.78,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,108.2,-16.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,324,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,3,54,1992,1951,2004,NT,0,NA,NA,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,108.2,91.5,0,108.2,-16.700000000000003,108.2
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,324E,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,3,54,2004,1951,2004,NT,0,NA,4.98,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,108.2,-16.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,402,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,4,54,1956,1951,2004,NT,0,NA,2.92,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,121.2,-29.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,402,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,4,54,1962,1951,2004,NT,0,NA,0.74,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,121.2,-29.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,402,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,4,54,1968,1951,2004,NT,0,NA,2.78,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,121.2,-29.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,402,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,4,54,1974,1951,2004,NT,0,NA,2.2,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,121.2,-29.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,402,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,4,54,1980,1951,2004,NT,0,NA,1.04,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,121.2,-29.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,402,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,4,54,1986,1951,2004,NT,0,NA,3.29,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,121.2,-29.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,402,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,4,54,1992,1951,2004,NT,0,NA,NA,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,121.2,91.5,0,121.2,-29.700000000000003,121.2
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,402W,NA,26,Fw-Wt-Wt-Hy-Hy-Hy VI,4,54,2004,1951,2004,NT,0,NA,3.41,NA,ALF+CWG+HAY,ALF,ALFALFA+CWG+OHAYFD,FAL_WHT_WHT_HAY_HAY_HAY,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_NT_26,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,121.2,-29.700000000000003,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1951,1951,2004,RT,45,2.51,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1952,1951,2004,RT,45,1.32,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1953,1951,2004,RT,45,1.47,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1954,1951,2004,RT,45,0.64,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1955,1951,2004,RT,45,1.54,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1956,1951,2004,RT,45,1.13,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1957,1951,2004,RT,45,0.47,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1958,1951,2004,RT,45,1.24,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1959,1951,2004,RT,45,1.04,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1960,1951,2004,RT,45,0.98,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
E4,Lethbridge,49.7,-112.766667,10,Alberta,Dark Brown Chernozem,Orthic,loam,45,25,30,NA,NA,109,NA,1,Wt I,1,54,1961,1951,2004,RT,45,0.14,NA,NA,WHT,WHT,WHTDUR,WHT,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,estimation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cpr,E4_RT_1,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,4,793011,793,793011,AB,AB_2,30,NA,91.5,0,102.6,-11.099999999999994,NA
